M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny              BUY   20.8%    3420   35.4%   +2.8%   -0.127   +0.085
  session_asia            BUY   33.3%    5463   34.9%   +2.3%   -0.144   +0.069
  discount                BUY   28.7%    4704   34.4%   +1.8%   -0.157   +0.055
  sweep_low               BUY    4.9%     804   34.1%   +1.5%   -0.167   +0.046
  premium                SELL   48.4%    7947   34.5%   +0.9%   -0.153   +0.027
  displacement            BUY    4.5%     737   33.4%   +0.8%   -0.188   +0.025
  sweep_high             SELL    7.4%    1216   34.4%   +0.7%   -0.158   +0.022
  retest                  BUY   26.3%    4313   33.2%   +0.7%   -0.192   +0.021
  _BASELINE               BUY  100.0%   16403   32.6%   +0.0%   -0.212   +0.000
  _BASELINE              SELL  100.0%   16403   33.6%   +0.0%   -0.180   +0.000
  wick_reject             BUY   21.5%    3520   32.5%   -0.1%   -0.214   -0.002
  fvg                     BUY    6.0%     984   32.4%   -0.1%   -0.217   -0.004
  wick_reject            SELL   20.7%    3397   33.1%   -0.5%   -0.195   -0.015
  bos                    SELL   10.5%    1718   32.7%   -0.9%   -0.208   -0.028
  volspike                BUY    5.6%     924   31.4%   -1.2%   -0.248   -0.035
  session_london         SELL   20.8%    3420   32.5%   -1.2%   -0.215   -0.036
  volspike               SELL    5.7%     933   32.4%   -1.3%   -0.218   -0.038
  retest                 SELL   22.2%    3648   32.2%   -1.4%   -0.222   -0.042
  bos                     BUY   12.9%    2109   31.1%   -1.5%   -0.257   -0.045
  fvg                    SELL    5.6%     925   31.8%   -1.9%   -0.236   -0.056
  htf_aligned             BUY   60.8%    9976   30.3%   -2.3%   -0.281   -0.069
  session_asia           SELL   33.3%    5463   31.2%   -2.4%   -0.252   -0.072
  htf_aligned            SELL   34.5%    5664   30.5%   -3.1%   -0.274   -0.094
